Ransomware Family,TacticID,TechniqueID,Sub-TechID,Action,Num. CAR,Num. Sigma,Num. ES SIEM,Num. Splunk,Total
LockBitRansomware,Defense Evasion,T1027,T1027.002,.NET source code contains in memory code execution,0,1,0,0,1
LokiLockerRansomware,Execution,T1106,No sub-techniques,.NET source code references suspicious native API functions,0,12,6,0,18
BlackCatRansomware,Execution,T1059,No Suitable Sub-techniques,Accept command line arguments,1,51,64,57,173
DiavolRansomware,Execution,T1059,No Suitable Sub-techniques,Accept command line arguments,1,51,64,57,173
EvilNominatusRansomware,Execution,T1059,No Suitable Sub-techniques,Accept command line arguments,1,51,64,57,173
MementoRansomware,Execution,T1059,No Suitable Sub-techniques,Accept command line arguments,1,51,64,57,173
NokoyawaRansomware,Execution,T1059,No Suitable Sub-techniques,Accept command line arguments,1,51,64,57,173
BlueSkyRansomware,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
HiveRansomware,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
LilithRansomware,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
LorenzRansomware,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
RansomExx,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
SynAckRansomware,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
Yanluowang Ransomware,Execution,T1129,No sub-techniques,Access PEB ldr_data,0,0,1,0,1
HaronRansomware,Defense Evasion,T1553,T1553.004,Access system cert storage,1,5,2,2,10
HaronRansomware,Execution,T1047,No sub-techniques,Access WMI data in .NET,3,40,5,14,62
MidasRansomware,Execution,T1047,No sub-techniques,Access WMI data in .NET,3,40,5,14,62
DearCryRansomware,Command and Control,T1071,T1071.001,Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic.,0,29,3,2,34
OnyxRansomware,Command and Control,T1071,T1071.001,Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic.,0,29,3,2,34
DearCryRansomware,Impact,T1485,No sub-techniques,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources.",0,10,8,19,37
OnyxRansomware,Execution,T1106,No sub-techniques,Adversaries may interact with the native OS application programming interface (API) to execute behaviors.,0,12,6,0,18
DearCryRansomware,Collection,T1074,No Suitable Sub-techniques,Adversaries may stage collected data in a central location or directory prior to Exfiltration.,0,2,2,1,5
CrytoxRansomware,Defense Evasion,T1055,T1055.001,Allocates memory in foreign processes,2,8,0,4,14
SynAckRansomware,Defense Evasion,T1055,T1055.001,Allocates memory in foreign processes,2,8,0,4,14
CrytoxRansomware,Privilege Escalation,T1055,T1055.001,Allocates memory in foreign processes,2,8,0,4,14
SynAckRansomware,Privilege Escalation,T1055,T1055.001,Allocates memory in foreign processes,2,8,0,4,14
DearCryRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Allocates memory with a write watch (potentially for evading sandboxes),0,0,1,1,2
OnyxRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Allocates memory with a write watch (potentially for evading sandboxes),0,0,1,1,2
DearCryRansomware,Discovery,T1497,No Suitable Sub-techniques,Allocates memory with a write watch (potentially for evading sandboxes),0,0,1,1,2
OnyxRansomware,Discovery,T1497,No Suitable Sub-techniques,Allocates memory with a write watch (potentially for evading sandboxes),0,0,1,1,2
AgendaRansomware,Discovery,T1010,T1010,Analyze the sample with the simulation cookbook,1,1,0,0,2
BandarChorRansomware,Discovery,T1010,T1010,Analyze the sample with the simulation cookbook,1,1,0,0,2
BlackBastaRansomware,Discovery,T1010,T1010,Analyze the sample with the simulation cookbook,1,1,0,0,2
CrytoxRansomware,Discovery,T1010,T1010,Analyze the sample with the simulation cookbook,1,1,0,0,2
AgendaRansomware,Discovery,T1518,T1518.001,AV process strings found (often used to terminate AV products),1,4,2,0,7
BlackBastaRansomware,Discovery,T1518,T1518.001,AV process strings found (often used to terminate AV products),1,4,2,0,7
Cl0pRansomware,Discovery,T1518,T1518.001,AV process strings found (often used to terminate AV products),1,4,2,0,7
HaronRansomware,Discovery,T1518,T1518.001,AV process strings found (often used to terminate AV products),1,4,2,0,7
MidasRansomware,Discovery,T1518,T1518.001,AV process strings found (often used to terminate AV products),1,4,2,0,7
SunnyDayRansomware,Discovery,T1518,T1518.001,AV process strings found (often used to terminate AV products),1,4,2,0,7
CrytoxRansomware,Execution,T1203,No sub-techniques,Benign windows process is dropping new PE files,0,21,2,4,27
AESRTRansomware,Defense Evasion,T1070,T1070.006,Binary contains a suspicious time stamp,0,5,1,0,6
BlueSkyRansomware,Defense Evasion,T1070,T1070.006,Binary contains a suspicious time stamp,0,5,1,0,6
ClownicRansomware,Defense Evasion,T1070,T1070.006,Binary contains a suspicious time stamp,0,5,1,0,6
LockBitRansomware,Defense Evasion,T1070,T1070.006,Binary contains a suspicious time stamp,0,5,1,0,6
LokiLockerRansomware,Defense Evasion,T1070,T1070.006,Binary contains a suspicious time stamp,0,5,1,0,6
DearCryRansomware,Defense Evasion,T1027,T1027,Binary may include packed or crypted data,0,83,7,8,98
LockBitRansomware,Defense Evasion,T1027,T1027,Binary may include packed or crypted data,0,83,7,8,98
LokiLockerRansomware,Defense Evasion,T1027,T1027,Binary may include packed or crypted data,0,83,7,8,98
PandoraRansomware,Defense Evasion,T1027,T1027,Binary may include packed or crypted data,0,83,7,8,98
AESRTRansomware,Defense Evasion,T1027,T1027.002,Binary may include packed or crypted data,0,1,0,0,1
DearCryRansomware,Defense Evasion,T1027,T1027.002,Binary may include packed or crypted data,0,1,0,0,1
LockBitRansomware,Defense Evasion,T1027,T1027.002,Binary may include packed or crypted data,0,1,0,0,1
LokiLockerRansomware,Defense Evasion,T1027,T1027.002,Binary may include packed or crypted data,0,1,0,0,1
PandoraRansomware,Defense Evasion,T1027,T1027.002,Binary may include packed or crypted data,0,1,0,0,1
BlackCatRansomware,Defense Evasion,T1548,T1548.002,Bypass UAC via ICMLuaUtil,3,48,11,13,75
BlackCatRansomware,Privilege Escalation,T1548,T1548.002,Bypass UAC via ICMLuaUtil,3,48,11,13,75
HaronRansomware,Execution,T1053,T1053.005,Call schtasks for scheduled task,6,38,9,15,68
MidasRansomware,Execution,T1053,T1053.005,Call schtasks for scheduled task,6,38,9,15,68
HaronRansomware,Persistence,T1053,T1053.005,Call schtasks for scheduled task,6,38,9,15,68
MidasRansomware,Persistence,T1053,T1053.005,Call schtasks for scheduled task,6,38,9,15,68
HaronRansomware,Privilege Escalation,T1053,T1053.005,Call schtasks for scheduled task,6,38,9,15,68
MidasRansomware,Privilege Escalation,T1053,T1053.005,Call schtasks for scheduled task,6,38,9,15,68
BlackBastaRansomware,Persistence,T1546,T1546.001,Change file default open method,1,3,0,3,7
CrytoxRansomware,Persistence,T1546,T1546.001,Change file default open method,1,3,0,3,7
BlackBastaRansomware,Privilege Escalation,T1546,T1546.001,Change file default open method,1,3,0,3,7
CrytoxRansomware,Privilege Escalation,T1546,T1546.001,Change file default open method,1,3,0,3,7
HaronRansomware,Execution,T1569,T1569.002,Change service config,4,40,3,5,52
MidasRansomware,Execution,T1569,T1569.002,Change service config,4,40,3,5,52
HaronRansomware,Persistence,T1543,T1543.003,Change service config,6,40,10,14,70
